Ordem,Sigla,Nome,Unid,Casas
1,WBC,WBC,,3
2,RBC,RBC,,3
3,HGB,HGB,,3
4,HCT,HCT,,3
5,MCV,MCV,,3
6,MCH,MCH,,3
7,MCHC,MCHC,,3
8,PLT,PLT,,0
9,NEUT%,NEUT%,,1
10,LYMPH%,LYMPH%,,1
11,MONO%,MONO%,,1
12,EO%,EO%,,1
13,BASO%,BASO%,,1
14,NEUT#,NEUT#,,3
15,LYMPH#,LYMPH#,,3
16,MONO#,MONO#,,3
17,EO#,EO#,,3
18,BASO#,BASO#,,3
19,IG%,IG%,,1
20,IG#,IG#,,3
21,NRBC%,NRBC%,,1
22,NRBC#,NRBC#,,3
23,RDW-SD,RDW-SD,,3
24,RDW-CV,RDW-CV,,3
25,MPV,MPV,,3
26,RET%,RET%,,1
27,RET#,RET#,,3
28,IRF,IRF,,3
